zone_id,imd_score,imd_decile,income_score,income_decile,employment_score,employment_decile,geog_barriers_score,geog_barriers_decile,population
E02001682,16.123,6,0.112,5,0.1,4,0.145,4,8298
E02001683,13.216,7,0.089,6,0.08,6,-0.167,7,9124
E02001684,40.886,1,0.261,1,0.175,2,-0.449,8,6746
E02001685,32.297,2,0.196,2,0.161,2,-0.384,8,8207
E02001686,16.648,6,0.102,6,0.093,5,0.15,4,6894
E02001688,35.872,2,0.222,2,0.174,2,-0.258,7,7555
E02001689,42.207,1,0.226,2,0.185,1,-1.309,10,8492
E02001690,21.811,4,0.136,4,0.116,4,-0.002,5,7457
E02001691,35.416,2,0.202,2,0.155,2,-0.979,10,8761
E02001692,51.689,1,0.302,1,0.223,1,-0.047,6,6565
E02001693,43.969,1,0.259,1,0.212,1,-0.678,9,5611
E02001694,21.711,5,0.126,5,0.112,4,-0.138,6,6539
E02001695,16.511,6,0.097,6,0.095,5,0.37,3,6340
E02001696,35.476,2,0.207,2,0.174,2,-0.223,7,9243
E02001697,14.361,7,0.097,6,0.088,5,-0.684,9,7545
E02001698,9.075,9,0.049,9,0.061,8,0.282,4,7151
E02001699,33.584,2,0.172,3,0.147,2,0.327,3,6891
E02001700,18.337,5,0.117,5,0.104,4,0.166,4,10501
E02001701,9.717,9,0.066,8,0.059,8,-0.206,7,6300
E02001702,49.506,1,0.289,1,0.228,1,-0.507,9,8026
E02001703,16.039,6,0.109,5,0.091,5,0.38,3,5603
E02001704,35.437,2,0.207,2,0.177,2,0.217,4,7010
E02001705,30.819,3,0.195,2,0.171,2,-0.036,6,7112
E02001706,28.987,3,0.167,3,0.136,3,0.23,4,7650
E02001707,27.751,3,0.167,3,0.136,3,-0.145,6,8223
E02001708,15.187,6,0.096,6,0.085,5,0.42,3,11137
E02001709,7.048,10,0.051,9,0.047,9,-0.026,6,10215
E02001710,38.708,2,0.24,2,0.184,1,-0.202,7,9692
E02001711,40.026,2,0.251,1,0.192,1,0.1,5,9497
E02001712,8.952,9,0.059,9,0.052,8,-0.048,6,9842
E02001713,11.46,8,0.082,7,0.076,6,-0.287,7,10474
E02001714,7.336,10,0.052,9,0.052,8,0.14,4,9572
E02001715,38.418,2,0.253,1,0.19,1,-0.071,6,11410
E02001718,45.341,1,0.27,1,0.208,1,-0.044,6,5762
E02001719,14.102,7,0.086,7,0.073,6,-0.24,7,9020
E02001720,7.921,9,0.026,10,0.02,10,-0.938,10,9887
E02001721,27.507,3,0.172,3,0.14,3,0.149,4,10312
E02001722,34.679,2,0.202,2,0.167,2,0.188,4,9518
E02001723,33.669,2,0.231,2,0.156,2,-0.646,9,6365
E02001724,10.28,9,0.047,10,0.034,10,-0.224,7,9096
E02001725,27.486,3,0.157,3,0.116,4,-1.23,10,10426
E02001726,30.342,3,0.196,2,0.139,3,-0.357,8,12469
E02001727,32.43,2,0.199,2,0.165,2,-0.401,8,8485
E02001728,31.882,3,0.187,3,0.148,2,0.182,4,9544
E02001729,29.546,3,0.174,3,0.118,3,-0.664,9,13057
E02001730,20.79,5,0.09,6,0.056,8,-0.674,9,17015
E02001731,31.404,3,0.146,4,0.104,4,-0.157,7,16362
E02001732,46.683,1,0.284,1,0.209,1,-0.8,10,4978
E02001733,61.474,1,0.361,1,0.285,1,-0.238,7,11953
E02001734,46.382,1,0.308,1,0.214,1,-0.729,9,7957
E02001735,63.498,1,0.38,1,0.284,1,-0.661,9,6640
E02001736,55.195,1,0.351,1,0.249,1,-0.855,10,13543
E02001737,63.033,1,0.394,1,0.311,1,-0.387,8,6109
E02001738,4.927,10,0.03,10,0.041,10,0.614,2,5745
E02001739,24.579,4,0.147,4,0.138,3,-0.054,6,7449
