zone_id,retail_jobs,workplace_population
E02001682,216,1750
E02001683,245,1674
E02001684,854,5509
E02001685,192,1055
E02001686,889,4759
E02001688,3364,17972
E02001689,427,2623
E02001690,5944,9899
E02001691,147,1509
E02001692,64,586
E02001693,92,946
E02001694,230,1395
E02001695,304,1624
E02001696,154,1240
E02001697,216,5281
E02001698,188,1746
E02001699,73,941
E02001700,361,2260
E02001701,223,1771
E02001702,106,1103
E02001703,162,872
E02001704,132,820
E02001705,142,1320
E02001706,1117,4558
E02001707,768,5102
E02001708,1170,5418
E02001709,346,3480
E02001710,147,2620
E02001711,558,4844
E02001712,794,3280
E02001713,678,10744
E02001714,264,9472
E02001715,474,3179
E02001718,127,1285
E02001719,485,1917
E02001720,205,1887
E02001721,478,3666
E02001722,333,1701
E02001723,267,1170
E02001724,552,4066
E02001725,552,3723
E02001726,423,2771
E02001727,177,2139
E02001728,430,4009
E02001729,402,3504
E02001730,632,10920
E02001731,8806,54831
E02001732,453,1862
E02001733,1531,8223
E02001734,383,2634
E02001735,123,846
E02001736,1247,10986
E02001737,177,2658
E02001738,88,772
E02001739,185,1732
E02001740,117,919
E02001741,224,1916
E02001742,131,953
E02001743,594,3220
E02001744,367,1515
E02001745,1054,4870
E02001746,457,2361
E02001747,88,796
E02001748,930,5184
E02001749,71,1009
E02001750,385,4200
E02001751,158,1622
E02001752,1992,11423
E02001753,368,2374
E02001754,80,1110
E02001755,1229,5013
E02001756,653,9019
E02001757,108,1037
E02001758,258,1336
E02001759,769,5188
E02001760,1001,3683
E02001761,111,887
E02001762,68,527
E02001763,87,1049
E02001764,570,2933
E02001765,167,1960
E02001766,231,2839
E02001767,426,2774
E02001768,415,4689
E02001769,1959,7752
E02001770,113,1546
E02001771,51,630
E02001772,77,1575
E02001773,137,1061
E02001774,978,5068
E02001775,233,876
E02001776,199,3242
E02001777,210,2056
E02001778,189,3584
E02001779,971,4210
E02001780,49,493
E02001781,79,642
E02001782,141,1876
E02001783,60,713
E02001784,60,816
E02001785,109,1030
E02001786,77,756
E02001787,121,1443
E02001788,928,2254
E02001789,133,1080
E02001790,402,2925
E02001791,294,1578
E02001792,396,1604
E02001793,96,1053
E02001794,71,1131
E02001795,951,6908
E02001796,476,3886
E02001797,743,10701
E02001798,832,4872
E02001799,701,4554
E02001800,569,3176
E02001801,297,5857
E02001802,323,1743
E02001803,3447,16000
E02001804,216,2013
E02001805,102,1125
E02001806,538,3762
E02001807,1613,7445
E02001808,212,1533
E02001809,1808,5331
E02001810,303,1986
E02001811,152,1800
E02001812,162,2723
E02001813,165,2040
E02001814,921,3108
E02001815,449,2670
E02001816,443,1437
E02001817,128,1141
E02001818,155,1850
E02001819,764,8734
E02001820,194,1606
E02001821,46,696
E02001822,273,1839
E02001823,137,1355
E02001824,370,2700
E02001825,420,5079
E02001826,112,1053
E02006841,1430,12126
E02006842,162,1441
E02006893,303,1817
