zone_id,local_authority,resident_workers,jobs
E02001682,Gateshead,2623,991
E02001683,Gateshead,3043,782
E02001684,Gateshead,2515,4374
E02001685,Gateshead,2777,573
E02001686,Gateshead,2564,3372
E02001688,Gateshead,2894,13172
E02001689,Gateshead,2554,1886
E02001690,Gateshead,2769,7647
E02001691,Gateshead,3159,822
E02001692,Gateshead,2076,279
E02001693,Gateshead,1859,631
E02001694,Gateshead,2605,845
E02001695,Gateshead,2655,1059
E02001696,Gateshead,3129,758
E02001697,Gateshead,3026,3960
E02001698,Gateshead,2318,1069
E02001699,Gateshead,2585,498
E02001700,Gateshead,4007,1152
E02001701,Gateshead,2420,1173
E02001702,Gateshead,2371,606
E02001703,Gateshead,1735,338
E02001704,Gateshead,2402,424
E02001705,Gateshead,1953,586
E02001706,Gateshead,2036,3044
E02001707,Gateshead,2621,2921
E02001708,Newcastle upon Tyne,3588,3617
E02001709,Newcastle upon Tyne,3435,2094
E02001710,Newcastle upon Tyne,3165,1703
E02001711,Newcastle upon Tyne,2965,2974
E02001712,Newcastle upon Tyne,3645,2163
E02001713,Newcastle upon Tyne,3802,7614
E02001714,Newcastle upon Tyne,3927,7097
E02001715,Newcastle upon Tyne,3650,2146
E02001718,Newcastle upon Tyne,1784,806
E02001719,Newcastle upon Tyne,3523,1118
E02001720,Newcastle upon Tyne,2690,1128
E02001721,Newcastle upon Tyne,3370,2260
E02001722,Newcastle upon Tyne,3142,1072
E02001723,Newcastle upon Tyne,2088,677
E02001724,Newcastle upon Tyne,2879,2743
E02001725,Newcastle upon Tyne,4135,2776
E02001726,Newcastle upon Tyne,3635,1660
E02001727,Newcastle upon Tyne,3061,1365
E02001728,Newcastle upon Tyne,3465,2475
E02001729,Newcastle upon Tyne,3026,2110
E02001730,Newcastle upon Tyne,3785,7743
E02001731,Newcastle upon Tyne,2982,43214
E02001732,Newcastle upon Tyne,1488,1231
E02001733,Newcastle upon Tyne,3700,6441
E02001734,Newcastle upon Tyne,2304,1780
E02001735,Newcastle upon Tyne,1777,532
E02001736,Newcastle upon Tyne,3095,7922
E02001737,Newcastle upon Tyne,1598,1913
E02001738,North Tyneside,1639,305
E02001739,North Tyneside,2348,784
E02001740,North Tyneside,1968,378
E02001741,North Tyneside,2159,1057
E02001742,North Tyneside,2195,436
E02001743,North Tyneside,2755,2116
E02001744,North Tyneside,2313,856
E02001745,North Tyneside,2475,3299
E02001746,North Tyneside,2920,1475
E02001747,North Tyneside,2060,354
E02001748,North Tyneside,2859,3758
E02001749,North Tyneside,2375,569
E02001750,North Tyneside,2324,3073
E02001751,North Tyneside,2135,1062
E02001752,North Tyneside,2146,8043
E02001753,North Tyneside,2237,1627
E02001754,North Tyneside,2347,574
E02001755,North Tyneside,3109,3799
E02001756,North Tyneside,3503,6407
E02001757,North Tyneside,2113,604
E02001758,North Tyneside,2297,882
E02001759,North Tyneside,2486,4238
E02001760,North Tyneside,2398,2729
E02001761,North Tyneside,2059,575
E02001762,North Tyneside,2478,184
E02001763,North Tyneside,2185,654
E02001764,North Tyneside,2434,2054
E02001765,North Tyneside,2459,1362
E02001766,North Tyneside,2671,2068
E02001767,North Tyneside,2730,2117
E02001768,South Tyneside,2890,3881
E02001769,South Tyneside,2275,6853
E02001770,South Tyneside,2482,965
E02001771,South Tyneside,1946,308
E02001772,South Tyneside,1839,1159
E02001773,South Tyneside,1952,671
E02001774,South Tyneside,1949,4393
E02001775,South Tyneside,1794,592
E02001776,South Tyneside,3101,2568
E02001777,South Tyneside,2535,1561
E02001778,South Tyneside,2216,3051
E02001779,South Tyneside,1708,3500
E02001780,South Tyneside,1565,209
E02001781,South Tyneside,1706,395
E02001782,South Tyneside,2885,1338
E02001783,South Tyneside,2045,399
E02001784,South Tyneside,2253,485
E02001785,South Tyneside,2536,533
E02001786,South Tyneside,2395,366
E02001787,South Tyneside,2007,955
E02001788,South Tyneside,2136,1773
E02001789,South Tyneside,2011,615
E02001790,South Tyneside,2039,2103
E02001791,Sunderland,2173,1138
E02001792,Sunderland,2538,1109
E02001793,Sunderland,2648,677
E02001794,Sunderland,2635,705
E02001795,Sunderland,2530,5517
E02001796,Sunderland,3205,2906
E02001797,Sunderland,2221,7387
E02001798,Sunderland,2804,3556
E02001799,Sunderland,3337,3130
E02001800,Sunderland,2818,2205
E02001801,Sunderland,2129,4702
E02001802,Sunderland,1848,1270
E02001803,Sunderland,2690,13225
E02001804,Sunderland,2084,1449
E02001805,Sunderland,2010,717
E02001806,Sunderland,2361,2906
E02001807,Sunderland,2667,5581
E02001808,Sunderland,2073,1023
E02001809,Sunderland,2449,4275
E02001810,Sunderland,3510,1249
E02001811,Sunderland,2896,1114
E02001812,Sunderland,3473,1730
E02001813,Sunderland,2869,1352
E02001814,Sunderland,2052,2330
E02001815,Sunderland,3723,1554
E02001816,Sunderland,2135,1016
E02001817,Sunderland,2049,753
E02001818,Sunderland,2712,1036
E02001819,Sunderland,2409,6484
E02001820,Sunderland,2647,884
E02001821,Sunderland,2236,285
E02001822,Sunderland,2582,1085
E02001823,Sunderland,2097,734
E02001824,Sunderland,2356,1694
E02001825,Sunderland,1931,3190
E02001826,Sunderland,1458,490
E02006841,Gateshead,2827,9723
E02006842,Gateshead,1839,949
E02006893,Newcastle upon Tyne,3722,1007
