origin_id,E02001682,E02001683,E02001684,E02001685,E02001686,E02001688,E02001689,E02001690,E02001691,E02001692,E02001693,E02001694,E02001695,E02001696,E02001697,E02001698,E02001699,E02001700,E02001701,E02001702,E02001703,E02001704,E02001705,E02001706,E02001707,E02001708,E02001709,E02001710,E02001711,E02001712,E02001713,E02001714,E02001715,E02001718,E02001719,E02001720,E02001721,E02001722,E02001723,E02001724,E02001725,E02001726,E02001727,E02001728,E02001729,E02001730,E02001731,E02001732,E02001733,E02001734,E02001735,E02001736,E02001737,E02001738,E02001739,E02001740,E02001741,E02001742,E02001743,E02001744,E02001745,E02001746,E02001747,E02001748,E02001749,E02001750,E02001751,E02001752,E02001753,E02001754,E02001755,E02001756,E02001757,E02001758,E02001759,E02001760,E02001761,E02001762,E02001763,E02001764,E02001765,E02001766,E02001767,E02001768,E02001769,E02001770,E02001771,E02001772,E02001773,E02001774,E02001775,E02001776,E02001777,E02001778,E02001779,E02001780,E02001781,E02001782,E02001783,E02001784,E02001785,E02001786,E02001787,E02001788,E02001789,E02001790,E02001791,E02001792,E02001793,E02001794,E02001795,E02001796,E02001797,E02001798,E02001799,E02001800,E02001801,E02001802,E02001803,E02001804,E02001805,E02001806,E02001807,E02001808,E02001809,E02001810,E02001811,E02001812,E02001813,E02001814,E02001815,E02001816,E02001817,E02001818,E02001819,E02001820,E02001821,E02001822,E02001823,E02001824,E02001825,E02001826,E02006841,E02006842,E02006893
E02001682,131.72,87.17,16.01,28.59,185.68,217.1,15.93,251.97,6.15,1.4,2.42,14.36,2.76,2.1,17.88,27.08,1.42,15.69,6.06,1.97,9.3,1.49,16.12,12.85,8.42,41.52,10.27,13.94,42.63,10.59,52.5,28.08,21.22,10.75,4.79,6.29,119.88,21.67,9.09,16.43,12.58,27.76,5.28,69.98,24.74,53.01,434.4,32.75,33.2,35.96,2.43,130.29,9.37,0.15,2.38,0.16,6.05,0.23,1.07,0.77,8.51,0.83,0.22,4.35,1.16,2.23,2.49,7.31,1.01,0.4,9.06,20.29,0.58,1.43,3.37,2.63,1.26,0.49,0.91,1.83,2.27,4.94,5.83,1.66,3.26,0.39,0.1,0.51,0.27,4.64,0.23,3.99,3.13,1.58,2.53,0.09,0.32,2.65,0.26,0.53,0.15,0.2,1.12,1.6,0.37,1.71,0.37,0.33,0.44,0.28,1.56,0.64,11.97,2.4,4.24,3.77,0.82,0.3,2.15,0.42,0.16,0.46,7.02,0.18,6.4,2.51,0.38,0.25,0.29,0.29,2.04,0.21,0.12,0.11,1.85,0.68,0.06,0.67,0.47,0.64,1.04,0.16,57.65,5.5,15.62
E02001683,165.65,249.51,17.3,30.94,200.65,234.61,17.21,272.28,6.64,1.52,2.61,15.53,2.99,2.27,19.33,29.26,1.54,16.96,6.55,2.13,13.7,1.61,43.47,13.88,9.1,44.87,11.09,15.06,46.07,11.46,56.73,30.34,22.96,11.63,5.18,6.79,129.54,23.42,9.84,17.78,13.6,30.0,5.71,75.62,26.74,57.29,469.42,35.43,35.88,38.86,2.62,140.79,10.13,0.16,2.57,0.18,6.53,0.25,1.15,0.83,9.19,0.89,0.24,4.7,1.26,2.41,2.69,7.9,1.1,0.44,9.79,21.92,0.62,1.55,3.64,2.84,1.36,0.53,0.98,1.98,2.45,5.33,6.3,1.8,3.53,0.42,0.11,0.55,0.29,5.02,0.25,4.31,3.38,1.71,2.73,0.09,0.34,2.87,0.28,0.57,0.17,0.21,1.2,1.73,0.4,1.84,0.4,0.36,0.47,0.3,1.69,0.7,12.94,2.59,4.59,4.07,0.88,0.33,2.32,0.46,0.17,0.5,7.59,0.2,6.92,2.71,0.41,0.27,0.31,0.32,2.21,0.23,0.13,0.12,2.0,0.73,0.06,0.73,0.51,0.7,1.12,0.17,62.3,5.94,16.88
E02001684,2.94,1.67,135.36,2.03,12.03,129.28,22.77,39.75,9.63,4.73,16.67,7.1,23.47,17.83,52.42,5.5,12.03,9.0,12.61,7.05,1.11,4.73,0.5,22.73,24.61,13.29,11.03,7.34,10.6,11.89,41.1,40.81,9.55,3.89,6.97,9.14,6.89,4.06,3.9,23.88,18.29,9.36,7.68,9.31,17.75,77.05,428.03,5.98,48.26,12.15,3.53,65.96,13.67,0.35,2.03,0.47,3.72,0.67,3.13,1.55,9.53,2.42,0.66,8.82,1.69,6.54,3.61,21.08,3.94,1.58,13.17,29.49,1.86,2.98,13.53,10.56,1.83,0.72,2.79,8.4,5.63,7.17,8.47,14.34,28.12,3.36,0.87,4.37,2.26,40.77,1.93,35.0,27.45,13.65,21.46,0.73,2.7,23.3,2.19,4.52,1.32,1.68,9.47,13.59,3.11,14.49,3.11,2.84,3.73,2.38,13.28,5.48,101.72,20.39,33.54,24.18,6.61,2.57,18.24,3.42,1.27,3.89,46.17,1.49,33.43,10.22,3.06,2.01,2.33,2.5,9.67,1.41,0.72,0.91,10.04,3.37,0.37,3.35,1.76,2.89,4.59,0.62,162.71,13.22,3.56
E02001685,43.94,25.02,17.0,64.97,317.07,243.99,19.22,346.38,7.41,1.56,2.57,19.76,2.94,2.23,23.31,37.22,1.51,21.57,8.33,2.19,16.73,2.05,9.07,17.66,11.58,41.7,10.31,14.0,42.81,10.65,52.72,28.2,21.34,10.81,4.81,6.31,59.9,21.76,9.14,16.52,12.64,27.87,5.31,70.27,24.85,53.24,436.23,32.92,33.34,36.11,2.44,130.99,9.41,0.15,2.39,0.16,6.07,0.23,1.07,0.77,8.54,0.83,0.22,4.37,1.17,2.24,2.5,7.34,1.02,0.41,9.11,20.37,0.58,1.44,3.39,2.64,1.26,0.5,0.91,1.84,2.28,4.96,5.85,1.77,3.46,0.41,0.11,0.54,0.28,4.93,0.24,4.23,3.32,1.68,2.68,0.09,0.34,2.82,0.27,0.56,0.16,0.21,1.18,1.7,0.39,1.81,0.39,0.36,0.47,0.3,1.66,0.69,12.86,2.55,5.83,5.18,1.12,0.41,2.91,0.58,0.22,0.56,9.66,0.25,8.8,3.45,0.52,0.34,0.4,0.39,2.81,0.29,0.17,0.15,2.55,0.93,0.08,0.93,0.65,0.89,1.43,0.21,64.26,6.36,15.69
E02001686,44.49,25.3,15.71,49.44,333.88,213.06,15.63,260.82,6.03,1.37,2.37,14.88,2.71,2.06,17.55,28.03,1.4,16.24,6.27,1.93,15.23,1.54,9.17,13.3,8.72,40.75,10.07,13.68,41.83,10.39,51.46,27.55,20.83,10.55,4.7,6.17,60.59,21.27,8.93,16.13,12.35,27.24,5.19,68.6,24.28,52.03,425.81,32.14,32.58,35.29,2.38,127.86,9.19,0.15,2.33,0.16,5.93,0.22,1.05,0.75,8.34,0.81,0.21,4.27,1.14,2.19,2.44,7.18,0.99,0.4,8.89,19.91,0.57,1.4,3.31,2.58,1.23,0.49,0.89,1.8,2.22,4.84,5.71,1.63,3.2,0.38,0.1,0.5,0.26,4.56,0.22,3.91,3.06,1.55,2.48,0.08,0.31,2.6,0.25,0.52,0.15,0.19,1.09,1.57,0.36,1.67,0.36,0.33,0.43,0.27,1.53,0.63,11.75,2.35,4.4,3.9,0.84,0.31,2.19,0.44,0.16,0.45,7.28,0.19,6.63,2.6,0.39,0.26,0.3,0.3,2.11,0.22,0.13,0.12,1.92,0.7,0.06,0.7,0.49,0.67,1.08,0.16,56.58,5.39,15.33
E02001688,11.13,6.33,36.11,8.14,45.56,475.96,41.51,129.21,16.01,3.38,5.54,27.14,6.23,4.73,46.28,19.72,3.21,26.95,13.34,4.74,4.46,3.67,2.02,28.3,18.56,19.34,13.49,8.97,19.77,14.54,50.27,49.91,12.21,5.65,8.52,11.17,23.35,10.06,5.68,29.21,22.37,15.09,9.39,32.45,28.61,94.23,689.95,15.2,59.02,19.59,4.31,106.32,16.74,0.27,2.49,0.29,4.55,0.41,1.89,1.36,11.65,1.47,0.39,7.73,2.07,3.96,4.42,13.0,1.8,0.72,16.11,36.06,1.03,2.54,5.99,4.67,2.24,0.88,1.62,3.26,4.03,8.77,10.36,3.75,7.36,0.88,0.23,1.14,0.6,10.47,0.51,8.99,7.05,3.57,5.7,0.19,0.72,5.98,0.58,1.2,0.35,0.45,2.52,3.61,0.83,3.85,0.83,0.75,0.99,0.63,3.53,1.45,27.01,5.41,9.36,8.3,1.8,0.68,4.84,0.93,0.35,1.03,15.48,0.41,14.11,5.53,0.83,0.55,0.63,0.66,4.5,0.47,0.27,0.25,4.08,1.5,0.12,1.49,1.03,1.42,2.29,0.34,138.97,13.73,7.25
E02001689,5.22,2.97,40.66,4.1,21.37,265.44,51.33,80.17,21.92,4.59,6.87,14.32,7.02,5.33,63.3,12.24,4.23,20.19,17.91,6.44,2.25,5.03,1.02,25.27,16.57,17.85,13.7,9.12,14.24,14.77,51.01,50.7,11.87,5.22,8.65,11.35,11.9,6.05,5.25,29.67,22.72,13.94,9.54,16.54,26.43,95.72,636.7,8.91,59.95,18.1,4.38,98.23,16.99,0.27,2.52,0.29,4.62,0.41,1.92,1.38,11.84,1.49,0.39,7.85,2.1,4.02,4.49,13.2,1.83,0.73,16.36,36.63,1.04,2.58,6.09,4.75,2.27,0.89,1.64,3.31,4.09,8.91,10.51,4.23,8.29,0.99,0.26,1.29,0.68,11.79,0.58,10.12,7.94,4.02,6.42,0.22,0.81,6.74,0.66,1.35,0.39,0.5,2.83,4.07,0.93,4.33,0.93,0.85,1.12,0.71,3.97,1.64,30.41,6.1,10.03,7.89,1.98,0.77,5.45,1.02,0.38,1.16,13.94,0.45,12.71,4.99,0.91,0.6,0.7,0.75,4.05,0.42,0.24,0.27,3.68,1.35,0.11,1.34,0.93,1.28,2.06,0.31,171.85,18.77,4.78
E02001690,26.4,15.02,22.7,23.62,114.06,264.22,25.64,471.48,9.9,2.09,3.42,29.88,3.92,2.98,33.23,64.3,2.02,37.21,11.87,3.12,12.96,3.0,5.86,26.81,17.58,40.73,10.07,13.67,41.82,10.39,51.5,31.38,20.82,10.55,5.36,7.02,44.29,21.26,8.01,18.36,14.06,24.45,5.9,61.56,21.76,59.24,424.11,28.84,37.06,31.67,2.71,114.74,10.51,0.17,2.33,0.18,5.93,0.25,1.19,0.85,8.34,0.92,0.24,4.86,1.3,2.49,2.78,8.17,1.13,0.45,10.13,22.67,0.65,1.6,3.77,2.94,1.4,0.55,1.02,2.04,2.53,5.52,6.5,2.36,4.62,0.55,0.14,0.72,0.38,6.58,0.32,5.64,4.43,2.25,3.58,0.12,0.45,3.76,0.37,0.75,0.22,0.28,1.58,2.27,0.52,2.42,0.52,0.47,0.62,0.43,2.46,1.05,19.53,3.4,8.86,7.87,1.7,0.62,4.42,0.88,0.33,0.85,14.67,0.39,13.37,5.24,0.79,0.52,0.6,0.6,4.26,0.45,0.25,0.24,3.87,1.42,0.12,1.41,0.98,1.35,2.17,0.33,85.83,8.49,15.32
E02001691,6.01,3.42,51.28,4.71,24.58,305.2,65.35,92.29,34.13,7.42,11.07,16.46,8.88,7.21,109.02,14.75,6.84,24.31,30.84,10.56,2.59,8.65,1.17,43.51,28.53,20.55,15.75,10.49,16.37,16.98,58.71,58.29,13.65,6.01,9.95,13.05,13.68,6.95,6.04,34.15,26.12,16.03,10.97,19.04,30.42,110.06,732.93,10.26,68.93,20.81,5.04,112.94,19.55,0.31,2.9,0.34,5.32,0.47,2.21,1.59,13.61,1.72,0.45,9.04,2.41,4.62,5.17,15.18,2.11,0.84,18.83,42.12,1.2,2.97,7.0,5.47,2.61,1.03,1.89,3.8,4.7,10.25,12.1,5.35,10.48,1.25,0.33,1.63,0.85,14.87,0.73,12.75,10.0,5.09,8.12,0.28,1.02,8.49,0.83,1.71,0.5,0.63,3.58,5.14,1.18,5.48,1.18,1.08,1.41,0.9,5.03,2.07,46.58,7.71,14.58,12.95,2.79,1.02,7.25,1.45,0.54,1.47,24.0,0.63,21.9,8.59,1.29,0.85,0.99,0.98,6.97,0.73,0.42,0.39,6.33,2.32,0.19,2.31,1.6,2.2,3.55,0.53,243.4,30.26,5.5
E02001692,2.96,1.69,54.51,2.15,12.12,139.22,29.56,42.05,16.04,8.32,12.51,7.51,9.51,9.11,94.64,6.68,8.95,11.01,21.63,11.06,1.18,7.48,0.53,33.24,21.79,12.47,10.34,6.89,9.94,11.14,38.53,38.26,8.97,3.65,6.53,8.56,6.77,3.99,3.67,22.41,17.14,9.21,7.21,9.38,17.46,72.23,420.74,5.89,45.24,11.95,3.31,64.83,12.83,0.21,1.91,0.22,3.49,0.31,1.45,1.04,8.94,1.13,0.3,5.93,1.58,3.03,3.39,9.96,1.53,0.61,12.36,27.64,0.79,1.95,5.25,4.1,1.71,0.68,1.24,3.26,3.09,6.73,7.94,5.73,11.22,1.34,0.35,1.74,0.91,15.83,0.78,13.57,10.64,5.45,8.69,0.3,1.1,9.03,0.89,1.83,0.53,0.68,3.84,5.51,1.26,5.87,1.26,1.15,1.51,0.96,5.38,2.22,48.82,8.26,15.28,13.57,2.68,1.04,7.39,1.38,0.51,1.58,20.56,0.6,18.76,6.82,1.24,0.81,0.94,1.01,5.54,0.59,0.34,0.37,5.16,1.89,0.15,1.88,1.27,1.75,2.82,0.42,180.7,22.17,3.34
