origin_id,destination_id,distance_km,time_min,gc_min
E02001682,E02001682,1.53,2.28,3.47
E02001682,E02001683,3.07,4.57,6.94
E02001682,E02001684,14.91,16.44,27.8
E02001682,E02001685,4.54,7.11,10.52
E02001682,E02001686,4.13,6.36,9.48
E02001682,E02001688,8.74,10.04,16.6
E02001682,E02001689,10.56,12.57,20.72
E02001682,E02001690,6.01,8.06,12.64
E02001682,E02001691,11.18,13.81,22.42
E02001682,E02001692,12.81,15.8,25.94
E02001682,E02001693,14.1,17.23,28.54
E02001682,E02001694,8.43,10.95,17.59
E02001682,E02001695,16.22,17.52,29.87
E02001682,E02001696,15.73,18.27,30.6
E02001682,E02001697,13.17,16.75,27.75
E02001682,E02001698,8.12,11.23,17.61
E02001682,E02001699,15.26,19.36,31.84
E02001682,E02001700,10.57,13.03,21.05
E02001682,E02001701,12.69,17.11,26.92
E02001682,E02001702,15.17,18.63,30.62
E02001682,E02001703,8.15,11.87,19.48
E02001682,E02001704,14.3,18.88,30.75
E02001682,E02001705,9.05,16.16,23.12
E02001682,E02001706,15.6,17.55,29.47
E02001682,E02001707,17.78,20.85,34.54
E02001682,E02001708,11.64,14.39,23.13
E02001682,E02001709,14.48,16.84,28.3
E02001682,E02001710,12.92,15.21,24.9
E02001682,E02001711,9.21,12.55,20.32
E02001682,E02001712,13.15,15.0,25.53
E02001682,E02001713,12.52,13.6,23.06
E02001682,E02001714,14.88,16.13,27.49
E02001682,E02001715,11.62,13.24,21.96
E02001682,E02001718,9.29,11.56,18.82
E02001682,E02001719,13.95,15.04,25.7
E02001682,E02001720,13.01,14.5,24.55
E02001682,E02001721,4.81,7.83,11.44
E02001682,E02001722,7.21,10.56,16.88
E02001682,E02001723,8.74,10.43,17.37
E02001682,E02001724,12.49,13.5,23.03
E02001682,E02001725,13.55,15.2,25.67
E02001682,E02001726,8.12,9.94,16.18
E02001682,E02001727,14.8,16.18,27.5
E02001682,E02001728,6.06,8.82,14.09
E02001682,E02001729,9.4,11.53,18.77
E02001682,E02001730,11.52,12.78,21.6
E02001682,E02001731,9.92,11.31,18.88
E02001682,E02001732,6.6,7.87,12.82
E02001682,E02001733,13.24,15.03,25.39
E02001682,E02001734,7.42,8.99,14.83
E02001682,E02001735,13.76,16.33,27.41
E02001682,E02001736,8.23,10.0,16.21
E02001682,E02001737,14.56,16.19,27.37
E02001682,E02001738,25.15,28.63,48.64
E02001682,E02001739,19.32,21.04,35.53
E02001682,E02001740,25.28,28.64,48.93
E02001682,E02001741,15.93,17.58,29.53
E02001682,E02001742,23.98,26.92,46.26
E02001682,E02001743,25.79,27.6,47.27
E02001682,E02001744,21.69,25.23,42.3
E02001682,E02001745,19.0,21.45,35.7
E02001682,E02001746,24.67,26.4,45.24
E02001682,E02001747,24.46,25.67,44.41
E02001682,E02001748,20.43,22.24,38.19
E02001682,E02001749,18.78,20.58,35.13
E02001682,E02001750,23.62,24.97,42.88
E02001682,E02001751,17.78,19.75,33.56
E02001682,E02001752,22.28,23.61,40.52
E02001682,E02001753,24.08,26.0,44.79
E02001682,E02001754,22.91,24.8,42.56
E02001682,E02001755,17.62,20.21,33.9
E02001682,E02001756,15.77,17.78,30.34
E02001682,E02001757,21.45,22.31,38.59
E02001682,E02001758,19.42,21.29,36.05
E02001682,E02001759,22.08,23.94,40.74
E02001682,E02001760,20.96,22.9,38.82
E02001682,E02001761,17.6,19.49,33.16
E02001682,E02001762,16.83,17.86,30.68
E02001682,E02001763,19.31,21.55,36.31
E02001682,E02001764,21.82,23.66,40.26
E02001682,E02001765,18.27,19.89,33.79
E02001682,E02001766,16.82,18.66,31.52
E02001682,E02001767,16.03,17.95,30.18
E02001682,E02001768,26.04,28.24,48.03
E02001682,E02001769,24.68,26.56,45.34
E02001682,E02001770,25.31,28.03,47.2
E02001682,E02001771,26.74,30.02,50.45
E02001682,E02001772,24.78,27.56,46.38
E02001682,E02001773,25.51,27.99,47.53
E02001682,E02001774,20.56,22.06,37.66
E02001682,E02001775,26.39,28.87,48.98
E02001682,E02001776,19.17,20.47,35.02
E02001682,E02001777,18.29,20.03,34.03
E02001682,E02001778,24.25,26.4,44.79
E02001682,E02001779,22.47,24.3,41.33
E02001682,E02001780,25.59,27.7,47.07
E02001682,E02001781,21.59,23.55,39.94
E02001682,E02001782,18.1,20.21,33.96
E02001682,E02001783,23.21,25.16,42.75
E02001682,E02001784,20.13,21.7,36.98
E02001682,E02001785,28.45,31.9,53.58
E02001682,E02001786,24.45,26.66,45.18
E02001682,E02001787,20.01,22.49,37.68
E02001682,E02001788,21.64,23.37,39.78
E02001682,E02001789,24.43,26.14,44.64
E02001682,E02001790,22.52,24.02,41.09
E02001682,E02001791,26.66,28.8,48.97
E02001682,E02001792,27.24,29.61,50.32
E02001682,E02001793,23.38,26.8,44.52
E02001682,E02001794,24.91,29.86,48.72
E02001682,E02001795,26.63,29.47,50.29
E02001682,E02001796,28.16,31.0,52.84
E02001682,E02001797,19.03,21.84,36.69
E02001682,E02001798,23.04,26.27,43.72
E02001682,E02001799,19.83,21.98,37.76
E02001682,E02001800,18.7,20.51,35.32
E02001682,E02001801,28.07,31.87,54.21
E02001682,E02001802,26.96,30.13,51.62
E02001682,E02001803,28.33,31.28,53.78
E02001682,E02001804,27.16,30.48,51.12
E02001682,E02001805,27.87,30.33,51.78
E02001682,E02001806,29.68,32.82,55.73
E02001682,E02001807,20.77,23.03,38.84
E02001682,E02001808,28.78,31.34,53.47
E02001682,E02001809,19.79,23.06,38.13
E02001682,E02001810,18.34,21.48,35.46
E02001682,E02001811,26.07,27.88,47.69
E02001682,E02001812,29.86,33.22,56.2
E02001682,E02001813,27.83,30.99,52.15
E02001682,E02001814,30.98,34.52,58.89
E02001682,E02001815,20.9,23.18,39.21
E02001682,E02001816,28.33,31.36,53.45
E02001682,E02001817,29.4,34.21,56.95
E02001682,E02001818,31.76,36.91,61.75
E02001682,E02001819,27.26,29.93,51.07
E02001682,E02001820,23.19,24.7,42.78
E02001682,E02001821,29.63,32.9,55.96
E02001682,E02001822,24.45,26.06,45.09
E02001682,E02001823,26.67,27.65,47.96
E02001682,E02001824,27.82,29.25,51.01
E02001682,E02001825,29.5,30.42,53.3
E02001682,E02001826,31.12,31.91,55.48
E02001682,E02006841,12.39,14.51,23.98
