# Scheme cost adjustments: Tyne and Wear Metro extension to Washington
#
# origin_id, destination_id, gc_change_minutes
# Negative values are improvements. Units are minutes of generalised cost,
# the same units as gc_min in cost_matrix_msoa.csv.
#
# WHAT THE SCHEME IS
# A 13 km extension of the Tyne and Wear Metro linking the existing stations at
# Pelaw and South Hylton via Washington, with three new stations proposed at
# Follingsby, Washington North and Washington South. As described by Nexus in
# August 2026. Nexus has published no journey times for the proposal and no
# public transport skim exists for this study area.
#
# WHERE THE 12 MINUTES COMES FROM
# It does not come from Nexus and it is not a forecast. It is a course
# assumption, set by the module author at a size large enough to move the map
# and small enough to leave every Washington zone below the base accessibility
# of the three regional centres. Both scheme files apply the same 12 minutes to
# every pair they list, so that anything that differs between the two runs
# differs because of which pairs are listed and for no other reason.
#
# Read the implied arithmetic before trusting it. Generalised cost from the
# Washington zones to City Centre & Arthur's Hill runs from 20.13 to 27.56
# minutes in cost_matrix_msoa.csv. Taking 12 minutes off implies a door-to-door
# figure that no rail service covering 13 km with intermediate stops would
# achieve. The number is an instrument, not an estimate.
#
# ONE COST MATRIX, TWO MODES
# cost_matrix_msoa.csv holds a single highway free-flow generalised cost. A
# public transport scheme has been written into it as though the highway cost
# fell, because the course dataset carries no public transport skim to write it
# into. A study would carry both and a mode choice between them.
#
# WHICH PAIRS ARE LISTED
# A pair is listed only where its generalised cost in cost_matrix_msoa.csv is
# 15.00 minutes or more. Taking twelve minutes off a journey that already costs
# eleven would leave a figure no rail service could deliver, so short pairs are
# left alone. The rule removes nothing from the narrow file, whose cheapest pair
# costs 16.32 minutes.
#
# SYMMETRY
# Every pair appears twice, once in each direction, with the same value. A
# railway carries people both ways. Deleting the return rows is a one-line
# change and it removes the three regional centres from the gains entirely.
#
# THIS FILE: BROAD
# The seven Washington MSOAs against every MSOA containing a Metro or heavy
# rail station in stations_msoa.csv. The scheme read as a connection to a
# network rather than to three destinations: a passenger boarding at Washington
# North can reach Whitley Bay or South Shields without leaving the system.
#
origin_id,destination_id,gc_change_minutes
E02001684,E02001807,-12.0
E02001684,E02001809,-12.0
E02001684,E02001810,-12.0
E02001684,E02001815,-12.0
E02001686,E02001797,-12.0
E02001686,E02001799,-12.0
E02001686,E02001800,-12.0
E02001686,E02001807,-12.0
E02001686,E02001809,-12.0
E02001686,E02001810,-12.0
E02001686,E02001815,-12.0
E02001690,E02001797,-12.0
E02001690,E02001799,-12.0
E02001690,E02001800,-12.0
E02001690,E02001807,-12.0
E02001690,E02001809,-12.0
E02001690,E02001810,-12.0
E02001690,E02001815,-12.0
E02001693,E02001807,-12.0
E02001693,E02001809,-12.0
E02001693,E02001810,-12.0
E02001693,E02001815,-12.0
E02001694,E02001797,-12.0
E02001694,E02001799,-12.0
E02001694,E02001800,-12.0
E02001694,E02001807,-12.0
E02001694,E02001809,-12.0
E02001694,E02001810,-12.0
E02001694,E02001815,-12.0
E02001710,E02001797,-12.0
E02001710,E02001799,-12.0
E02001710,E02001800,-12.0
E02001710,E02001807,-12.0
E02001710,E02001809,-12.0
E02001710,E02001810,-12.0
E02001710,E02001815,-12.0
E02001711,E02001797,-12.0
E02001711,E02001799,-12.0
E02001711,E02001800,-12.0
E02001711,E02001807,-12.0
E02001711,E02001809,-12.0
E02001711,E02001810,-12.0
E02001711,E02001815,-12.0
E02001712,E02001797,-12.0
E02001712,E02001799,-12.0
E02001712,E02001800,-12.0
E02001712,E02001807,-12.0
E02001712,E02001809,-12.0
E02001712,E02001810,-12.0
E02001712,E02001815,-12.0
E02001713,E02001797,-12.0
E02001713,E02001799,-12.0
E02001713,E02001800,-12.0
E02001713,E02001807,-12.0
E02001713,E02001809,-12.0
E02001713,E02001810,-12.0
E02001713,E02001815,-12.0
E02001715,E02001797,-12.0
E02001715,E02001799,-12.0
E02001715,E02001800,-12.0
E02001715,E02001807,-12.0
E02001715,E02001809,-12.0
E02001715,E02001810,-12.0
E02001715,E02001815,-12.0
E02001720,E02001797,-12.0
E02001720,E02001799,-12.0
E02001720,E02001800,-12.0
E02001720,E02001807,-12.0
E02001720,E02001809,-12.0
E02001720,E02001810,-12.0
E02001720,E02001815,-12.0
E02001724,E02001797,-12.0
E02001724,E02001799,-12.0
E02001724,E02001800,-12.0
E02001724,E02001807,-12.0
E02001724,E02001809,-12.0
E02001724,E02001810,-12.0
E02001724,E02001815,-12.0
E02001730,E02001797,-12.0
E02001730,E02001799,-12.0
E02001730,E02001800,-12.0
E02001730,E02001807,-12.0
E02001730,E02001809,-12.0
E02001730,E02001810,-12.0
E02001730,E02001815,-12.0
E02001731,E02001797,-12.0
E02001731,E02001799,-12.0
E02001731,E02001800,-12.0
E02001731,E02001807,-12.0
E02001731,E02001809,-12.0
E02001731,E02001810,-12.0
E02001731,E02001815,-12.0
E02001733,E02001797,-12.0
E02001733,E02001799,-12.0
E02001733,E02001800,-12.0
E02001733,E02001807,-12.0
E02001733,E02001809,-12.0
E02001733,E02001810,-12.0
E02001733,E02001815,-12.0
E02001742,E02001797,-12.0
E02001742,E02001799,-12.0
E02001742,E02001800,-12.0
E02001742,E02001807,-12.0
E02001742,E02001809,-12.0
E02001742,E02001810,-12.0
E02001742,E02001815,-12.0
E02001743,E02001797,-12.0
E02001743,E02001799,-12.0
E02001743,E02001800,-12.0
E02001743,E02001807,-12.0
E02001743,E02001809,-12.0
E02001743,E02001810,-12.0
E02001743,E02001815,-12.0
E02001744,E02001797,-12.0
E02001744,E02001799,-12.0
E02001744,E02001800,-12.0
E02001744,E02001807,-12.0
E02001744,E02001809,-12.0
E02001744,E02001810,-12.0
E02001744,E02001815,-12.0
E02001746,E02001797,-12.0
E02001746,E02001799,-12.0
E02001746,E02001800,-12.0
E02001746,E02001807,-12.0
E02001746,E02001809,-12.0
E02001746,E02001810,-12.0
E02001746,E02001815,-12.0
E02001747,E02001797,-12.0
E02001747,E02001799,-12.0
E02001747,E02001800,-12.0
E02001747,E02001807,-12.0
E02001747,E02001809,-12.0
E02001747,E02001810,-12.0
E02001747,E02001815,-12.0
E02001748,E02001797,-12.0
E02001748,E02001799,-12.0
E02001748,E02001800,-12.0
E02001748,E02001807,-12.0
E02001748,E02001809,-12.0
E02001748,E02001810,-12.0
E02001748,E02001815,-12.0
E02001753,E02001797,-12.0
E02001753,E02001799,-12.0
E02001753,E02001800,-12.0
E02001753,E02001807,-12.0
E02001753,E02001809,-12.0
E02001753,E02001810,-12.0
E02001753,E02001815,-12.0
E02001755,E02001797,-12.0
E02001755,E02001799,-12.0
E02001755,E02001800,-12.0
E02001755,E02001807,-12.0
E02001755,E02001809,-12.0
E02001755,E02001810,-12.0
E02001755,E02001815,-12.0
E02001756,E02001797,-12.0
E02001756,E02001799,-12.0
E02001756,E02001800,-12.0
E02001756,E02001807,-12.0
E02001756,E02001809,-12.0
E02001756,E02001810,-12.0
E02001756,E02001815,-12.0
E02001759,E02001797,-12.0
E02001759,E02001799,-12.0
E02001759,E02001800,-12.0
E02001759,E02001807,-12.0
E02001759,E02001809,-12.0
E02001759,E02001810,-12.0
E02001759,E02001815,-12.0
E02001764,E02001797,-12.0
E02001764,E02001799,-12.0
E02001764,E02001800,-12.0
E02001764,E02001807,-12.0
E02001764,E02001809,-12.0
E02001764,E02001810,-12.0
E02001764,E02001815,-12.0
E02001765,E02001797,-12.0
E02001765,E02001799,-12.0
E02001765,E02001800,-12.0
E02001765,E02001807,-12.0
E02001765,E02001809,-12.0
E02001765,E02001810,-12.0
E02001765,E02001815,-12.0
E02001767,E02001797,-12.0
E02001767,E02001799,-12.0
E02001767,E02001800,-12.0
E02001767,E02001807,-12.0
