zone_id,zone_name,local_authority,easting,northing
E02001682,Ryton,Gateshead,415758.9,564062.0
E02001683,Crawcrook & Greenside,Gateshead,413734.6,563329.9
E02001684,"Pelaw, Felling Shore & Bill Quay",Gateshead,428810.0,562350.2
E02001685,Blaydon South,Gateshead,418021.9,562397.7
E02001686,Blaydon North & Winlaton Mill,Gateshead,417682.3,562796.5
E02001688,Dunston & Teams,Gateshead,423538.0,562253.8
E02001689,Bensham North,Gateshead,424926.2,562175.0
E02001690,Swalwell,Gateshead,420568.5,561696.2
E02001691,Bensham South & Saltwell,Gateshead,425250.7,561644.4
E02001692,Mount Pleasant & Deckham East,Gateshead,426642.1,561563.0
E02001693,Felling South,Gateshead,427659.5,561472.0
E02001694,Dunston Hill,Gateshead,422813.1,561379.4
E02001695,Wardley,Gateshead,430126.9,561494.2
E02001696,Heworth,Gateshead,429164.7,561106.8
E02001697,Low Fell East,Gateshead,426253.1,560433.5
E02001698,Whickham,Gateshead,420222.6,560356.9
E02001699,Windy Nook & Whitehills,Gateshead,428234.0,560347.4
E02001700,Sunniside & Lobley Hill,Gateshead,422020.6,560048.6
E02001701,Low Fell West,Gateshead,425715.2,559544.8
E02001702,Beacon Lough & Wrekenton,Gateshead,427565.3,559451.7
E02001703,Rowlands Gill & Lockhaugh,Gateshead,416346.0,558942.8
E02001704,Easedale Gardens,Gateshead,426511.3,558841.8
E02001705,Chopwell & High Spen,Gateshead,412503.4,558337.5
E02001706,Birtley North & Kibblesworth,Gateshead,427017.2,556705.6
E02001707,Birtley South,Gateshead,427773.3,554985.9
E02001708,Kingston Park & Dinnington,Newcastle upon Tyne,421655.4,569621.5
E02001709,North Gosforth,Newcastle upon Tyne,424053.8,569868.1
E02001710,Fawdon South,Newcastle upon Tyne,422666.8,568788.0
E02001711,Woolsington & Airport,Newcastle upon Tyne,420113.3,568084.0
E02001712,South Gosforth,Newcastle upon Tyne,424999.1,567987.5
E02001713,Coxlodge & West Gosforth,Newcastle upon Tyne,423733.1,567807.4
E02001714,High Heaton,Newcastle upon Tyne,426798.3,567573.1
E02001715,Kenton,Newcastle upon Tyne,422301.8,567394.8
E02001718,Blakelaw,Newcastle upon Tyne,421014.2,566932.6
E02001719,North Heaton,Newcastle upon Tyne,427138.3,566656.0
