origin_id,destination_id,distance_km,time_min,gc_min
Z01,Z01,1.84,2.42,3.91
Z01,Z02,3.86,4.62,7.67
Z01,Z03,4.33,5.59,9.0
Z01,Z04,5.88,7.82,12.51
Z01,Z05,4.43,5.61,9.02
Z01,Z06,8.29,9.84,16.29
Z01,Z07,8.18,9.78,16.13
Z01,Z08,6.97,8.08,13.46
Z01,Z09,11.03,12.2,20.63
Z01,Z10,13.01,14.1,24.08
Z01,Z11,11.83,12.5,21.41
Z01,Z12,15.63,16.6,28.46
Z01,Z13,12.14,13.48,22.92
Z01,Z14,19.15,21.17,36.5
Z01,Z15,21.58,22.99,40.0
Z02,Z01,4.32,5.14,8.59
Z02,Z02,1.8,2.41,3.86
Z02,Z03,8.88,10.32,17.31
Z02,Z04,6.6,8.48,14.05
Z02,Z05,6.49,7.94,13.19
Z02,Z06,10.15,11.66,19.69
Z02,Z07,11.34,13.25,22.27
Z02,Z08,4.18,5.4,8.68
Z02,Z09,8.69,10.13,16.84
Z02,Z10,10.13,11.33,19.15
Z02,Z11,11.48,12.03,20.8
Z02,Z12,13.98,14.89,25.56
Z02,Z13,14.04,15.35,26.32
Z02,Z14,20.25,22.33,38.6
Z02,Z15,23.36,24.66,43.11
Z03,Z01,4.98,6.37,10.3
Z03,Z02,9.03,10.53,17.7
Z03,Z03,2.67,4.01,6.1
Z03,Z04,5.41,7.45,11.68
Z03,Z05,8.21,9.8,16.09
Z03,Z06,12.48,14.5,24.21
Z03,Z07,6.74,8.8,14.04
Z03,Z08,10.36,12.22,20.29
Z03,Z09,14.61,16.52,27.64
Z03,Z10,17.57,19.19,32.71
Z03,Z11,16.79,18.05,30.79
Z03,Z12,20.82,22.41,38.25
Z03,Z13,17.1,18.98,32.17
Z03,Z14,23.25,25.95,44.3
Z03,Z15,26.0,27.74,48.18
Z04,Z01,5.81,7.64,12.19
Z04,Z02,6.47,8.6,14.07
Z04,Z03,5.75,7.91,12.4
Z04,Z04,2.57,4.03,6.05
Z04,Z05,9.33,11.33,18.59
Z04,Z06,12.56,14.73,24.59
Z04,Z07,10.88,12.95,21.27
Z04,Z08,6.68,9.08,14.58
Z04,Z09,10.14,12.27,20.1
Z04,Z10,14.35,16.94,28.45
Z04,Z11,16.2,17.64,30.11
Z04,Z12,19.24,21.26,36.31
Z04,Z13,16.94,19.03,32.13
Z04,Z14,23.19,25.73,44.18
Z04,Z15,25.94,27.97,48.39
Z05,Z01,4.79,5.98,9.61
Z05,Z02,7.58,8.74,14.71
Z05,Z03,8.9,10.55,17.38
Z05,Z04,9.8,11.36,18.98
Z05,Z05,2.68,4.14,6.27
Z05,Z06,5.19,7.42,11.55
Z05,Z07,7.91,10.43,16.73
Z05,Z08,10.26,11.34,19.14
Z05,Z09,14.0,15.19,25.83
Z05,Z10,14.39,15.8,26.89
Z05,Z11,7.78,9.35,15.38
Z05,Z12,12.2,14.19,23.63
Z05,Z13,7.95,9.76,16.01
Z05,Z14,14.75,17.72,29.75
Z05,Z15,17.7,19.05,32.96
Z06,Z01,7.16,8.82,14.38
Z06,Z02,9.71,11.34,19.05
Z06,Z03,11.22,13.5,22.28
Z06,Z04,12.05,14.11,23.6
Z06,Z05,5.18,7.41,11.52
Z06,Z06,2.98,4.48,6.81
Z06,Z07,8.84,12.02,19.0
Z06,Z08,12.71,14.23,24.05
Z06,Z09,16.81,18.17,31.1
Z06,Z10,16.68,18.3,31.25
Z06,Z11,10.3,12.55,20.76
Z06,Z12,14.45,17.1,28.53
Z06,Z13,7.14,9.57,15.21
Z06,Z14,15.57,18.47,30.78
Z06,Z15,15.83,17.84,30.5
Z07,Z01,10.28,12.39,20.35
Z07,Z02,14.52,16.85,28.22
Z07,Z03,8.2,11.08,17.57
Z07,Z04,12.68,15.06,24.81
Z07,Z05,10.03,12.63,20.38
Z07,Z06,12.45,16.07,25.86
Z07,Z07,3.89,6.02,9.01
Z07,Z08,17.16,19.92,33.4
Z07,Z09,20.77,23.12,38.99
Z07,Z10,22.99,25.37,43.05
Z07,Z11,19.56,22.07,37.13
Z07,Z12,24.58,27.7,46.66
Z07,Z13,17.9,21.09,35.13
Z07,Z14,25.29,28.73,48.35
Z07,Z15,26.51,29.27,50.04
Z08,Z01,7.8,8.9,14.9
Z08,Z02,4.84,5.99,9.75
Z08,Z03,11.81,13.6,22.69
Z08,Z04,7.63,9.72,15.9
Z08,Z05,10.22,11.82,19.73
Z08,Z06,13.96,15.38,26.24
Z08,Z07,15.53,17.7,29.78
Z08,Z08,2.54,3.92,5.97
Z08,Z09,5.83,7.69,12.3
Z08,Z10,6.67,8.22,13.5
Z08,Z11,8.93,9.79,16.65
Z08,Z12,11.45,12.56,21.38
Z08,Z13,15.54,16.51,28.36
Z08,Z14,18.72,21.25,36.26
Z08,Z15,23.1,24.52,42.35
Z09,Z01,10.78,12.35,20.62
Z09,Z02,8.18,9.72,16.06
Z09,Z03,13.25,15.34,25.45
Z09,Z04,8.28,10.08,16.43
Z09,Z05,13.46,15.19,25.52
Z09,Z06,17.69,19.36,33.1
Z09,Z07,17.98,20.19,33.98
Z09,Z08,5.7,7.67,12.17
Z09,Z09,3.68,5.0,7.83
Z09,Z10,6.03,7.62,12.43
Z09,Z11,12.97,14.3,24.28
Z09,Z12,13.95,15.28,26.05
Z09,Z13,18.84,20.09,34.47
Z09,Z14,21.12,23.79,40.58
Z09,Z15,25.49,27.31,47.02
Z10,Z01,14.24,15.59,26.69
Z10,Z02,10.96,12.46,21.07
Z10,Z03,18.18,20.3,34.43
Z10,Z04,14.77,17.4,29.18
Z10,Z05,15.64,17.43,29.66
Z10,Z06,19.24,20.41,35.66
Z10,Z07,22.03,24.4,41.56
Z10,Z08,8.28,10.31,16.99
Z10,Z09,5.07,6.56,10.63
Z10,Z10,2.49,3.3,5.3
Z10,Z11,9.4,10.53,17.92
Z10,Z12,11.64,12.97,22.06
Z10,Z13,16.93,17.93,30.99
Z10,Z14,18.55,21.26,36.31
Z10,Z15,22.71,24.71,42.42
Z11,Z01,11.23,12.07,20.52
Z11,Z02,11.92,12.62,21.74
Z11,Z03,15.7,17.11,29.02
Z11,Z04,15.74,16.99,29.1
Z11,Z05,8.59,10.19,16.78
Z11,Z06,10.35,12.41,20.83
Z11,Z07,16.66,18.97,31.88
Z11,Z08,10.93,11.95,20.38
Z11,Z09,10.67,11.76,19.98
Z11,Z10,8.53,9.53,16.16
Z11,Z11,2.62,3.71,5.8
Z11,Z12,5.59,7.04,11.36
Z11,Z13,9.11,10.31,17.4
Z11,Z14,9.78,12.12,20.07
Z11,Z15,14.16,16.01,27.1
Z12,Z01,16.58,18.09,30.61
Z12,Z02,14.82,16.16,27.59
Z12,Z03,20.76,22.76,38.51
Z12,Z04,20.27,22.59,38.41
Z12,Z05,14.13,16.42,27.26
Z12,Z06,15.27,17.64,29.81
Z12,Z07,22.03,24.95,42.0
Z12,Z08,14.02,15.84,26.84
Z12,Z09,13.35,15.08,25.48
Z12,Z10,10.89,12.43,20.97
Z12,Z11,5.6,7.42,11.81
Z12,Z12,2.73,3.86,6.04
Z12,Z13,13.03,14.83,24.93
Z12,Z14,8.5,10.47,17.16
Z12,Z15,14.56,16.87,28.26
Z13,Z01,12.41,14.21,24.16
Z13,Z02,14.72,16.3,28.16
Z13,Z03,16.75,18.81,31.97
Z13,Z04,17.48,19.46,33.39
Z13,Z05,9.96,11.62,19.5
Z13,Z06,6.47,8.92,14.1
Z13,Z07,15.01,17.5,29.07
Z13,Z08,17.04,18.21,31.48
Z13,Z09,18.52,19.58,33.88
Z13,Z10,16.71,17.2,29.98
Z13,Z11,10.28,11.34,19.45
Z13,Z12,13.67,14.78,25.3
Z13,Z13,2.68,4.36,6.48
Z13,Z14,10.85,12.99,21.37
Z13,Z15,9.83,12.0,19.61
Z14,Z01,18.43,20.47,34.8
Z14,Z02,19.92,21.95,37.73
Z14,Z03,22.8,25.45,43.12
Z14,Z04,23.15,25.55,43.65
Z14,Z05,15.41,18.39,30.58
Z14,Z06,15.1,17.86,29.73
Z14,Z07,23.12,26.24,43.99
Z14,Z08,19.47,22.26,37.84
Z14,Z09,18.27,20.98,35.53
Z14,Z10,17.01,19.52,33.15
Z14,Z11,8.47,11.12,17.91
Z14,Z12,8.81,11.06,18.09
Z14,Z13,10.21,12.69,20.54
Z14,Z14,2.82,4.34,6.55
Z14,Z15,6.4,8.57,13.65
Z15,Z01,20.46,22.18,38.28
Z15,Z02,22.64,24.21,42.1
