origin_id,destination_id,trips
Z01,Z01,6399
Z01,Z02,1165
Z01,Z03,832
Z01,Z04,909
Z01,Z05,730
Z01,Z06,245
Z01,Z07,482
Z01,Z08,560
Z01,Z09,413
Z01,Z10,256
Z01,Z11,133
Z01,Z12,93
Z01,Z13,161
Z01,Z14,233
Z01,Z15,130
Z02,Z01,7817
Z02,Z02,6006
Z02,Z03,1041
Z02,Z04,1776
Z02,Z05,1335
Z02,Z06,421
Z02,Z07,590
Z02,Z08,2118
Z02,Z09,1169
Z02,Z10,827
Z02,Z11,260
Z02,Z12,202
Z02,Z13,293
Z02,Z14,348
Z02,Z15,208
Z03,Z01,8579
Z03,Z02,2277
Z03,Z03,6172
Z03,Z04,3380
Z03,Z05,1721
Z03,Z06,540
Z03,Z07,1469
Z03,Z08,1034
Z03,Z09,1001
Z03,Z10,470
Z03,Z11,257
Z03,Z12,147
Z03,Z13,400
Z03,Z14,319
Z03,Z15,258
Z04,Z01,7132
Z04,Z02,2249
Z04,Z03,1732
Z04,Z04,6397
Z04,Z05,1340
Z04,Z06,461
Z04,Z07,610
Z04,Z08,1300
Z04,Z09,1122
Z04,Z10,578
Z04,Z11,253
Z04,Z12,206
Z04,Z13,245
Z04,Z14,398
Z04,Z15,227
Z05,Z01,5062
Z05,Z02,1034
Z05,Z03,688
Z05,Z04,1061
Z05,Z05,8836
Z05,Z06,2460
Z05,Z07,1913
Z05,Z08,679
Z05,Z09,494
Z05,Z10,255
Z05,Z11,826
Z05,Z12,394
Z05,Z13,1122
Z05,Z14,676
Z05,Z15,536
Z06,Z01,3410
Z06,Z02,803
Z06,Z03,581
Z06,Z04,836
Z06,Z05,6739
Z06,Z06,5043
Z06,Z07,1854
Z06,Z08,437
Z06,Z09,398
Z06,Z10,199
Z06,Z11,518
Z06,Z12,263
Z06,Z13,1428
Z06,Z14,562
Z06,Z15,473
Z07,Z01,3549
Z07,Z02,774
Z07,Z03,1108
Z07,Z04,1035
Z07,Z05,3293
Z07,Z06,1100
Z07,Z07,6248
Z07,Z08,501
Z07,Z09,418
Z07,Z10,215
Z07,Z11,299
Z07,Z12,156
Z07,Z13,489
Z07,Z14,325
Z07,Z15,272
Z08,Z01,4519
Z08,Z02,3002
Z08,Z03,681
Z08,Z04,1791
Z08,Z05,1022
Z08,Z06,253
Z08,Z07,338
Z08,Z08,6192
Z08,Z09,3486
Z08,Z10,2914
Z08,Z11,429
Z08,Z12,230
Z08,Z13,323
Z08,Z14,254
Z08,Z15,192
Z09,Z01,2664
Z09,Z02,1308
Z09,Z03,453
Z09,Z04,1607
Z09,Z05,647
Z09,Z06,168
Z09,Z07,211
Z09,Z08,1961
Z09,Z09,4436
Z09,Z10,2437
Z09,Z11,163
Z09,Z12,128
Z09,Z13,221
Z09,Z14,152
Z09,Z15,119
Z10,Z01,4868
Z10,Z02,1884
Z10,Z03,640
Z10,Z04,1515
Z10,Z05,952
Z10,Z06,270
Z10,Z07,243
Z10,Z08,2800
Z10,Z09,4042
Z10,Z10,10881
Z10,Z11,435
Z10,Z12,400
Z10,Z13,328
Z10,Z14,384
Z10,Z15,234
Z11,Z01,2004
Z11,Z02,530
Z11,Z03,266
Z11,Z04,500
Z11,Z05,1941
Z11,Z06,539
Z11,Z07,307
Z11,Z08,497
Z11,Z09,348
Z11,Z10,246
Z11,Z11,7489
Z11,Z12,3879
Z11,Z13,1454
Z11,Z14,1588
Z11,Z15,731
Z12,Z01,1937
Z12,Z02,523
Z12,Z03,216
Z12,Z04,508
Z12,Z05,1470
Z12,Z06,430
Z12,Z07,273
Z12,Z08,391
Z12,Z09,380
Z12,Z10,308
Z12,Z11,5105
Z12,Z12,11429
Z12,Z13,1443
Z12,Z14,2603
Z12,Z15,930
Z13,Z01,1330
Z13,Z02,310
Z13,Z03,235
Z13,Z04,313
Z13,Z05,1831
Z13,Z06,1122
Z13,Z07,391
Z13,Z08,203
Z13,Z09,230
Z13,Z10,107
Z13,Z11,695
Z13,Z12,397
Z13,Z13,9500
Z13,Z14,2304
Z13,Z15,1757
Z14,Z01,1038
Z14,Z02,229
Z14,Z03,174
Z14,Z04,302
Z14,Z05,922
Z14,Z06,328
Z14,Z07,162
Z14,Z08,199
Z14,Z09,178
Z14,Z10,122
Z14,Z11,1175
Z14,Z12,942
Z14,Z13,3202
Z14,Z14,15260
Z14,Z15,5338
Z15,Z01,1314
Z15,Z02,276
Z15,Z03,259
Z15,Z04,381
Z15,Z05,1440
Z15,Z06,677
Z15,Z07,267
Z15,Z08,238
Z15,Z09,251
Z15,Z10,148
Z15,Z11,1034
Z15,Z12,736
Z15,Z13,4772
Z15,Z14,13022
Z15,Z15,15244
