origin_id,destination_id,trips
E02001682,E02001682,206
E02001682,E02001683,131
E02001682,E02001684,32
E02001682,E02001685,18
E02001682,E02001686,207
E02001682,E02001688,155
E02001682,E02001689,25
E02001682,E02001690,177
E02001682,E02001691,4
E02001682,E02001692,3
E02001682,E02001693,11
E02001682,E02001694,10
E02001682,E02001695,3
E02001682,E02001696,9
E02001682,E02001697,39
E02001682,E02001698,23
E02001682,E02001699,7
E02001682,E02001700,17
E02001682,E02001701,4
E02001682,E02001702,8
E02001682,E02001703,7
E02001682,E02001704,5
E02001682,E02001705,11
E02001682,E02001706,31
E02001682,E02001707,14
E02001682,E02001708,24
E02001682,E02001709,5
E02001682,E02001710,11
E02001682,E02001711,27
E02001682,E02001712,15
E02001682,E02001713,71
E02001682,E02001714,37
E02001682,E02001715,7
E02001682,E02001718,10
E02001682,E02001719,6
E02001682,E02001720,3
E02001682,E02001721,41
E02001682,E02001722,6
E02001682,E02001723,5
E02001682,E02001724,19
E02001682,E02001725,9
E02001682,E02001726,9
E02001682,E02001727,11
E02001682,E02001728,70
E02001682,E02001729,16
E02001682,E02001730,53
E02001682,E02001731,352
E02001682,E02001732,30
E02001682,E02001733,33
E02001682,E02001734,18
E02001682,E02001735,1
E02001682,E02001736,115
E02001682,E02001737,9
E02001682,E02001739,2
E02001682,E02001740,1
E02001682,E02001741,5
E02001682,E02001742,3
E02001682,E02001743,5
E02001682,E02001744,5
E02001682,E02001745,11
E02001682,E02001746,4
E02001682,E02001747,1
E02001682,E02001748,6
E02001682,E02001750,5
E02001682,E02001751,5
E02001682,E02001752,19
E02001682,E02001753,1
E02001682,E02001755,9
E02001682,E02001756,33
E02001682,E02001758,3
E02001682,E02001759,3
E02001682,E02001760,8
E02001682,E02001761,2
E02001682,E02001762,2
E02001682,E02001763,1
E02001682,E02001764,7
E02001682,E02001765,3
E02001682,E02001766,1
E02001682,E02001767,3
E02001682,E02001768,5
E02001682,E02001769,8
E02001682,E02001770,1
E02001682,E02001772,3
E02001682,E02001773,2
E02001682,E02001774,9
E02001682,E02001776,4
E02001682,E02001777,2
E02001682,E02001778,1
E02001682,E02001779,4
E02001682,E02001781,2
E02001682,E02001782,4
E02001682,E02001784,2
E02001682,E02001785,1
E02001682,E02001787,5
E02001682,E02001790,4
E02001682,E02001793,1
E02001682,E02001795,4
E02001682,E02001796,1
E02001682,E02001797,18
E02001682,E02001798,4
E02001682,E02001799,5
E02001682,E02001800,6
E02001682,E02001801,3
E02001682,E02001802,3
E02001682,E02001803,12
E02001682,E02001804,4
E02001682,E02001806,3
E02001682,E02001807,13
E02001682,E02001808,4
E02001682,E02001809,7
E02001682,E02001810,4
E02001682,E02001812,2
E02001682,E02001813,2
E02001682,E02001815,3
E02001682,E02001818,1
E02001682,E02001819,11
E02001682,E02001820,3
E02001682,E02001823,1
E02001682,E02001824,3
E02001682,E02001825,10
E02001682,E02001826,3
E02001682,E02006841,106
E02001682,E02006842,7
E02001682,E02006893,4
E02001683,E02001682,141
E02001683,E02001683,299
E02001683,E02001684,26
E02001683,E02001685,17
E02001683,E02001686,172
E02001683,E02001688,184
E02001683,E02001689,18
E02001683,E02001690,234
E02001683,E02001691,17
E02001683,E02001692,4
E02001683,E02001693,4
E02001683,E02001694,17
E02001683,E02001695,3
E02001683,E02001696,6
E02001683,E02001697,51
E02001683,E02001698,11
E02001683,E02001699,4
E02001683,E02001700,17
E02001683,E02001701,16
E02001683,E02001702,6
E02001683,E02001703,7
E02001683,E02001704,3
E02001683,E02001705,25
E02001683,E02001706,30
E02001683,E02001707,22
E02001683,E02001708,19
E02001683,E02001709,12
E02001683,E02001710,11
E02001683,E02001711,27
E02001683,E02001712,14
E02001683,E02001713,58
E02001683,E02001714,53
E02001683,E02001715,13
E02001683,E02001718,9
E02001683,E02001719,3
E02001683,E02001720,3
E02001683,E02001721,47
E02001683,E02001722,8
E02001683,E02001723,3
E02001683,E02001724,15
E02001683,E02001725,11
E02001683,E02001726,16
E02001683,E02001727,11
E02001683,E02001728,48
E02001683,E02001729,18
E02001683,E02001730,78
E02001683,E02001731,413
E02001683,E02001732,15
E02001683,E02001733,35
E02001683,E02001734,20
E02001683,E02001735,3
E02001683,E02001736,126
E02001683,E02001737,14
E02001683,E02001739,2
E02001683,E02001741,6
E02001683,E02001742,1
E02001683,E02001743,5
E02001683,E02001744,6
E02001683,E02001745,14
E02001683,E02001746,2
E02001683,E02001747,2
E02001683,E02001748,13
E02001683,E02001750,8
E02001683,E02001751,6
E02001683,E02001752,35
E02001683,E02001753,2
E02001683,E02001754,2
E02001683,E02001755,14
E02001683,E02001756,51
E02001683,E02001757,1
E02001683,E02001758,5
E02001683,E02001759,7
E02001683,E02001760,6
E02001683,E02001763,1
E02001683,E02001764,7
E02001683,E02001765,2
E02001683,E02001766,8
E02001683,E02001767,3
E02001683,E02001768,2
E02001683,E02001769,9
E02001683,E02001770,1
E02001683,E02001772,1
E02001683,E02001773,1
E02001683,E02001774,8
E02001683,E02001776,5
E02001683,E02001778,8
E02001683,E02001779,9
